Point#,Northing,Easting,Elevation,Description
1001,530842.141,1321044.882,37.421,WM-B 12in PVC C900
1002,530842.194,1321119.361,37.388,WM 12in PVC C900
1003,530842.218,1321194.245,37.351,WM 12in PVC C900
1004,530842.234,1321269.887,37.310,WM 12in PVC C900
1005,530842.260,1321344.771,37.265,WM 12in PVC C900
1006,530842.285,1321420.125,37.218,WM-E 12in PVC C900
1010,530878.320,1321069.440,37.405,WS-B 1in COPPER
1011,530900.115,1321069.520,37.399,WS-E 1in COPPER
1015,530878.320,1321144.210,37.370,WS-B 1in COPPER
1016,530900.115,1321144.300,37.363,WS-E 1in COPPER
1020,530878.320,1321219.080,37.335,WS-B 1in COPPER
1021,530900.115,1321219.160,37.327,WS-E 1in COPPER
1025,530878.320,1321294.530,37.296,WS-B 1in COPPER
1026,530900.115,1321294.610,37.288,WS-E 1in COPPER
1030,530878.320,1321369.300,37.251,WS-B 1in COPPER
1031,530900.115,1321369.380,37.243,WS-E 1in COPPER
1040,530807.010,1321157.650,37.356,FH-LAT 6in DI CL51
1041,530784.500,1321157.680,37.361,FH FIRE HYDRANT
1045,530807.010,1321307.420,37.302,FH-LAT 6in DI CL51
1046,530784.500,1321307.440,37.309,FH FIRE HYDRANT
2001,530838.840,1321049.220,34.872,SS-MH 4FT-DIA
2002,530839.020,1321124.550,34.801,SS-MH 4FT-DIA
2003,530839.210,1321199.860,34.725,SS-MH 4FT-DIA
2004,530839.400,1321275.130,34.643,SS-MH 4FT-DIA
2005,530839.590,1321350.480,34.558,SS-MH 4FT-DIA
2006,530839.770,1321425.610,34.469,SS-MH 4FT-DIA
2010,530839.080,1321086.850,34.838,SS-CL 4in SDR35
2011,530874.220,1321086.920,34.832,SS-CL-E 4in SDR35
2015,530839.300,1321162.180,34.763,SS-CL 4in SDR35
2016,530874.440,1321162.250,34.757,SS-CL-E 4in SDR35
2020,530839.510,1321237.490,34.684,SS-CL 4in SDR35
2021,530874.660,1321237.560,34.678,SS-CL-E 4in SDR35
2025,530839.730,1321312.800,34.601,SS-CL 4in SDR35
2026,530874.980,1321312.870,34.595,SS-CL-E 4in SDR35
2030,530839.940,1321388.040,34.514,SS-CL 4in SDR35
2031,530875.200,1321388.110,34.508,SS-CL-E 4in SDR35
3001,530800.120,1321050.880,36.922,SD-INLET 18in RCP
3002,530800.380,1321200.440,36.850,SD-JBOX 18in RCP
3003,530800.610,1321350.050,36.773,SD-INLET 18in RCP
3004,530800.840,1321425.210,36.733,SD-CATCHBASIN 18in RCP
3010,530785.440,1321050.910,36.918,SD-INLET 18in RCP
3011,530785.720,1321200.470,36.845,SD-JBOX 18in RCP
3012,530786.000,1321350.080,36.770,SD-INLET 18in RCP
3013,530786.280,1321425.240,36.730,SD-CATCHBASIN 18in RCP
9001,530800.000,1321000.000,40.000,BM-NGS CONTROL
9002,531000.000,1321500.000,40.000,BM-NGS CONTROL
