Point#,Northing,Easting,Elevation,Code
1001,530842.1415,1321044.882,37.421,WM-B
1002,530842.194,1321119.361,37.388,WM
1003,530842.218,1321194.245,37.351,WM
1004,530842.234,1321269.887,37.31,WM
1005,530842.26,1321344.771,37.265,WM
1006,530842.285,1321420.125,37.218,WM-E
1010,530878.32,1321069.44,37.405,WS-B
1011,530900.115,1321069.52,37.399,WS-E
1015,530878.32,1321144.21,37.37,WS-B
1016,530900.115,1321144.3,37.363,WS-E
1020,530878.32,1321219.08,37.335,WS-B
1021,530900.115,1321219.16,37.327,WS-E
1025,530878.32,1321294.53,37.296,WS-B
1026,530900.115,1321294.61,37.288,WS-E
1030,530878.32,1321369.3,37.251,WS-B
1031,530900.115,1321369.38,37.243,WS-E
1040,530807.01,1321157.65,37.356,FH-L
1041,530784.5,1321157.68,37.361,FH
1045,530807.01,1321307.42,37.302,FH-L
1046,530784.5,1321307.44,37.309,FH
2001,530838.84,1321049.22,34.872,SS-MH
2002,530839.02,1321124.55,34.801,SS-MH
2003,530839.21,1321199.86,34.725,SS-MH
2004,530839.4,1321275.13,34.643,SS-MH
2005,530839.59,1321350.48,34.558,SS-MH
2006,530839.77,1321425.61,34.469,SS-MH
2010,530839.08,1321086.85,34.838,SS-CL
2011,530874.22,1321086.92,34.832,SS-CL-E
2015,530839.3,1321162.18,34.763,SS-CL
2016,530874.44,1321162.25,34.757,SS-CL-E
2020,530839.51,1321237.49,34.684,SS-CL
2021,530874.66,1321237.56,34.678,SS-CL-E
2025,530839.73,1321312.8,34.601,SS-CL
2026,530874.98,1321312.87,34.595,SS-CL-E
2030,530839.94,1321388.04,34.514,SS-CL
2031,530875.2,1321388.11,34.508,SS-CL-E
3001,530800.12,1321050.88,36.922,SD-INL
3002,530800.38,1321200.44,36.85,SD-JB
3003,530800.61,1321350.05,36.773,SD-INL
3004,530800.84,1321425.21,36.733,SD-CB
3010,530785.44,1321050.91,36.918,SD-INL
3011,530785.72,1321200.47,36.845,SD-JB
3012,530786.0,1321350.08,36.77,SD-INL
3013,530786.28,1321425.24,36.73,SD-CB
9001,530800.0,1321000.0,40.0,BM-NGS
9002,531000.0,1321500.0,40.0,BM-NGS
