# Point,Northing,Easting,Elevation,Description
# JEA Water / Sewer As-Built  —  Availability No. W-04471
# Project: Oakridge Subdivision Phase 1B Utility Extension
# Date: 04/12/2025   Surveyor: R. Collins, PSM
# Coordinate System: Florida State Plane East (NAD83)  Units: US Survey Feet
# ─────────────────────────────────────────────────────────────────────────────
# FORMAT:  Point#, Northing, Easting, Elevation, Code
# ─────────────────────────────────────────────────────────────────────────────

# ── Water Main Mainline ─────────────────────────────────────────────────────
1001,530842.1415,1321044.8820,37.421,WM-B
1002,530842.1940,1321119.3610,37.388,WM
1003,530842.2180,1321194.2450,37.351,WM
1004,530842.2340,1321269.8870,37.310,WM
1005,530842.2600,1321344.7710,37.265,WM
1006,530842.2850,1321420.1250,37.218,WM-E

# ── Water Service Laterals ─────────────────────────────────────────────────
1010,530878.3200,1321069.4400,37.405,WS-B
1011,530900.1150,1321069.5200,37.399,WS-E
1015,530878.3200,1321144.2100,37.370,WS-B
1016,530900.1150,1321144.3000,37.363,WS-E
1020,530878.3200,1321219.0800,37.335,WS-B
1021,530900.1150,1321219.1600,37.327,WS-E
1025,530878.3200,1321294.5300,37.296,WS-B
1026,530900.1150,1321294.6100,37.288,WS-E
1030,530878.3200,1321369.3000,37.251,WS-B
1031,530900.1150,1321369.3800,37.243,WS-E

# ── Fire Hydrant Laterals ──────────────────────────────────────────────────
1040,530807.0100,1321157.6500,37.356,FH-L
1041,530784.5000,1321157.6800,37.361,FH
1045,530807.0100,1321307.4200,37.302,FH-L
1046,530784.5000,1321307.4400,37.309,FH

# ── Sanitary Sewer Mainline ────────────────────────────────────────────────
2001,530838.8400,1321049.2200,34.872,SS-MH
2002,530839.0200,1321124.5500,34.801,SS-MH
2003,530839.2100,1321199.8600,34.725,SS-MH
2004,530839.4000,1321275.1300,34.643,SS-MH
2005,530839.5900,1321350.4800,34.558,SS-MH
2006,530839.7700,1321425.6100,34.469,SS-MH

# ── Sewer Lateral Services ─────────────────────────────────────────────────
2010,530839.0800,1321086.8500,34.838,SS-CL
2011,530874.2200,1321086.9200,34.832,SS-CL-E
2015,530839.3000,1321162.1800,34.763,SS-CL
2016,530874.4400,1321162.2500,34.757,SS-CL-E
2020,530839.5100,1321237.4900,34.684,SS-CL
2021,530874.6600,1321237.5600,34.678,SS-CL-E
2025,530839.7300,1321312.8000,34.601,SS-CL
2026,530874.9800,1321312.8700,34.595,SS-CL-E
2030,530839.9400,1321388.0400,34.514,SS-CL
2031,530875.2000,1321388.1100,34.508,SS-CL-E

# ── Storm Drain System ─────────────────────────────────────────────────────
3001,530800.1200,1321050.8800,36.922,SD-INL
3002,530800.3800,1321200.4400,36.850,SD-JB
3003,530800.6100,1321350.0500,36.773,SD-INL
3004,530800.8400,1321425.2100,36.733,SD-CB
3010,530785.4400,1321050.9100,36.918,SD-INL
3011,530785.7200,1321200.4700,36.845,SD-JB
3012,530786.0000,1321350.0800,36.770,SD-INL
3013,530786.2800,1321425.2400,36.730,SD-CB

# ── Survey Control Benchmarks ──────────────────────────────────────────────
9001,530800.0000,1321000.0000,40.000,BM-NGS
9002,531000.0000,1321500.0000,40.000,BM-NGS
