LocalCode,SystemCode,Description
W,W,Water Pipe Run
WAT,JEAW,Water Point
WV,JEAWV,Water Valve
WF,JEAWF,Water Fitting
WM,JEAWM,Water Manhole
WMET,JEAWMET,Water Meter
HYD,JEAHYD,Fire Hydrant

WW,WW,Waste Water Pipe Run
SEW,JEAWW,Waste Water Point
WWV,JEAWWV,Waste Water Valve
WWF,JEAWWF,Waste Water Fitting
WWM,JEAWWM,Waste Water Manhole

ST,ST,Storm Pipe Run
D,D,Drainage Pipe Run
STORM,JEAST,Storm Point
DRAIN,JEAD,Drainage Point
STV,JEASTV,Storm Valve
STF,JEASTF,Storm Fitting
STM,JEASTM,Storm Manhole
CBI,JEACBI,Catch Basin / Inlet

E,E,Electric Pipe Run
EL,E,Electric Pipe Run
ELEC,JEAE,Electric Point
EV,JEAEV,Electric Valve
EF,JEAEF,Electric Fitting
EM,JEAEM,Electric Vault / Manhole
EMET,JEAEMET,Electric Meter

G,G,Gas Pipe Run
GAS,JEAG,Gas Point
GV,JEAGV,Gas Valve
GF,JEAGF,Gas Fitting
GM,JEAGM,Gas Vault
GMET,JEAGMET,Gas Meter

R,R,Reclaimed Pipe Run
REC,JEAR,Reclaimed Point
RV,JEARV,Reclaimed Valve
RF,JEARF,Reclaimed Fitting
RM,JEARM,Reclaimed Vault

CH,CH,Chilled Water Pipe Run
CHIL,JEACH,Chilled Water Point
CHV,JEACHV,Chilled Water Valve
CHF,JEACHF,Chilled Water Fitting
CHM,JEACHM,Chilled Water Vault
