PartNumber,NominalDiameter,OuterDiameter,PipeThickness,InnerDiameter,Deflection,Schedule
W-PVC-12-12,12,12.75,0.687,11.376,5,80
W-PVC-10,10,10.75,0.593,9.564,5,80
W-PVC-8,8,8.625,0.5,7.625,5,80
W-PVC-6,6,6.625,0.432,5.761,5,80
W-PVC-4,4,4.5,0.337,3.826,5,80
W-PVC-3,3,3.5,0.3,2.9,5,80
W-PVC-2,2,2.375,0.218,1.939,5,80
W-PVC40-12,12,12.75,0.406,11.938,5,40
W-PVC40-10,10,10.75,0.365,10.02,5,40
W-PVC40-8,8,8.625,0.322,7.981,5,40
W-PVC40-6,6,6.625,0.28,6.065,5,40
W-PVC40-4,4,4.5,0.237,4.026,5,40
W-PVC40-3,3,3.5,0.216,3.068,5,40
W-PVC40-2,2,2.375,0.154,2.067,5,40
