LocalCode,SystemCode,Description
W,W,Water Pipe Run
WAT,JEAW,Water Point
WV,JEAWV,Water Valve
WF,JEAWF,Water Fitting
WAR,JEAAIR,Air Release Valve
WM,JEAWM,Water Manhole
WMET,JEAWMET,Water Meter
WBFP,JEAWBFP,Water Back Flow Preventer
WBO,JEAWBO,Water Blow Off
HYD,JEAHYD,Fire Hydrant

WW,WW,Waste Water Pipe Run
SEW,JEAWW,Waste Water Point
WWV,JEAWWV,Waste Water Valve
WWF,JEAWWF,Waste Water Fitting
WWM,JEAWWM,Waste Water Manhole

ST,ST,Storm Pipe Run
D,D,Drainage Pipe Run
STORM,JEAST,Storm Point
DRAIN,JEAD,Drainage Point
STV,JEASTV,Storm Valve
STF,JEASTF,Storm Fitting
STM,JEASTM,Storm Manhole
CBI,JEACBI,Catch Basin / Inlet
DI,JEADI,Drop Inlet
HW,JEAHW,Headwall

E,E,Electric Pipe Run
EL,E,Electric Pipe Run
ELEC,JEAE,Electric Point
EV,JEAEV,Electric Valve
EF,JEAEF,Electric Fitting
EM,JEAEM,Electric Vault / Manhole
EMET,JEAEMET,Electric Meter
WPP,E-POLE,Wood Power Pole

G,G,Gas Pipe Run
GAS,JEAG,Gas Point
GV,JEAGV,Gas Valve
GF,JEAGF,Gas Fitting
GM,JEAGM,Gas Vault
GMET,JEAGMET,Gas Meter

R,R,Reclaimed Pipe Run
REC,JEAR,Reclaimed Point
RV,JEARV,Reclaimed Valve
RF,JEARF,Reclaimed Fitting
RM,JEARM,Reclaimed Vault

CH,CH,Chilled Water Pipe Run
CHIL,JEACH,Chilled Water Point
CHV,JEACHV,Chilled Water Valve
CHF,JEACHF,Chilled Water Fitting
CHM,JEACHM,Chilled Water Vault
EPOLE,E-POLE,Electric Utility Pole
EBOX,E-BOX,Electric Utility Box
POLE,E-POLE,Utility Pole
BOX,E-BOX,Utility Box
