point,northing,easting,elevation,description
1,10000.0,10000.0,25.25,WM-12-DIP
2,10020.0,10020.0,25.49,WM-8-PVC
3,10040.0,10040.0,25.71,WM-12-DIP-B90
4,10060.0,10060.0,25.9,WM-12-DIP-B45
5,10080.0,10080.0,26.05,WM-12-DIP-B225
6,10100.0,10100.0,26.17,WM-6x4-DIP-RED
7,10120.0,10120.0,26.23,WVL-12-DIP
8,10140.0,10140.0,26.25,BFV-24-DIP
9,10160.0,10160.0,26.22,WFH-6-DIP
10,10180.0,10180.0,26.14,ARV-12-DIP
11,10200.0,10200.0,26.01,PRV-12-DIP
12,10220.0,10220.0,25.84,BOW-8-DIP
13,10240.0,10240.0,25.64,RPZ-2-CU
14,10260.0,10260.0,25.42,SSM-8-PVC
15,10280.0,10280.0,25.18,SSM-10-PVC
16,10300.0,10300.0,24.93,SSM-8-PVC-B45
17,10320.0,10320.0,24.68,SSMH-48-CONC
18,10340.0,10340.0,24.45,SSC-6-PVC
19,10360.0,10360.0,24.24,SSL-6-PVC
20,10380.0,10380.0,24.05,SFM-6-HDPE
21,10400.0,10400.0,23.91,SFM-6-HDPE-B90
22,10420.0,10420.0,23.81,AIR-6-HDPE
23,10440.0,10440.0,23.76,STM-18-RCP
24,10460.0,10460.0,23.75,STM-24-RCP
25,10480.0,10480.0,23.8,STM-18-RCP-B45
26,10500.0,10500.0,23.9,STM-24-HDPE
27,10520.0,10520.0,24.03,CB-4-CONC
28,10540.0,10540.0,24.21,DI-4-CONC
29,10560.0,10560.0,24.42,YI-4-CONC
30,10580.0,10580.0,24.65,SMH-48-CONC
31,10600.0,10600.0,24.9,HW-0-CONC
32,10620.0,10620.0,25.15,STM-24-RCP-MES
33,10640.0,10640.0,25.39,STM-30-HDPE-FES
34,10660.0,10660.0,25.62,STM-30-RCP-MES-TWL-FG
35,10680.0,10680.0,25.82,STM-36-RCP-FES-TWL-FG
36,10700.0,10700.0,25.99,WM-12-DIP
37,10720.0,10720.0,26.12,WM-8-PVC
38,10740.0,10740.0,26.21,WM-12-DIP-B90
39,10760.0,10760.0,26.25,WM-12-DIP-B45
40,10780.0,10780.0,26.24,WM-12-DIP-B225
41,10800.0,10800.0,26.18,WM-6x4-DIP-RED
42,10820.0,10820.0,26.07,WVL-12-DIP
43,10840.0,10840.0,25.92,BFV-24-DIP
44,10860.0,10860.0,25.73,WFH-6-DIP
45,10880.0,10880.0,25.52,ARV-12-DIP
46,10900.0,10900.0,25.28,PRV-12-DIP
47,10920.0,10920.0,25.03,BOW-8-DIP
48,10940.0,10940.0,24.78,RPZ-2-CU
49,10960.0,10960.0,24.54,SSM-8-PVC
50,10980.0,10980.0,24.32,SSM-10-PVC
51,11000.0,11000.0,24.13,SSM-8-PVC-B45
52,11020.0,11020.0,23.97,SSMH-48-CONC
53,11040.0,11040.0,23.85,SSC-6-PVC
54,11060.0,11060.0,23.77,SSL-6-PVC
55,11080.0,11080.0,23.75,SFM-6-HDPE
56,11100.0,11100.0,23.78,SFM-6-HDPE-B90
57,11120.0,11120.0,23.85,AIR-6-HDPE
58,11140.0,11140.0,23.97,STM-18-RCP
59,11160.0,11160.0,24.13,STM-24-RCP
60,11180.0,11180.0,24.33,STM-18-RCP-B45
