point,northing,easting,elevation,description
1,10000.0,10000.0,25.21,WM-4-DIP
2,10020.0,10020.0,25.42,WM-6-DIP
3,10040.0,10040.0,25.62,WM-8-PVC
4,10060.0,10060.0,25.81,WM-10-PVC
5,10080.0,10080.0,25.98,WM-12-DIP
6,10100.0,10100.0,26.13,WM-16-DIP
7,10120.0,10120.0,26.26,WM-24-DIP
8,10140.0,10140.0,26.36,WM-6x4-DIP-RED
9,10160.0,10160.0,26.44,WM-8x6-DIP-RED
10,10180.0,10180.0,26.48,WM-12x8-DIP-RED
11,10200.0,10200.0,26.5,WM-6-DIP-B225
12,10220.0,10220.0,26.48,WM-6-DIP-B45
13,10240.0,10240.0,26.44,WM-6-DIP-B90
14,10260.0,10260.0,26.36,WM-8-PVC-B225
15,10280.0,10280.0,26.26,WM-8-PVC-B45
16,10300.0,10300.0,26.13,WM-8-PVC-B90
17,10320.0,10320.0,25.98,WM-12-DIP-B225
18,10340.0,10340.0,25.81,WM-12-DIP-B45
19,10360.0,10360.0,25.62,WM-12-DIP-B90
20,10380.0,10380.0,25.42,WVL-6-DIP
21,10400.0,10400.0,25.21,WVL-8-DIP
22,10420.0,10420.0,25.0,WVL-12-DIP
23,10440.0,10440.0,24.78,WVL-16-DIP
24,10460.0,10460.0,24.58,BFV-24-DIP
25,10480.0,10480.0,24.37,BFV-30-DIP
26,10500.0,10500.0,24.19,WFH-6-DIP
27,10520.0,10520.0,24.02,WMT-1-CU
28,10540.0,10540.0,23.86,WMT-2-CU
29,10560.0,10560.0,23.74,ARV-12-DIP
30,10580.0,10580.0,23.63,ARV-16-DIP
31,10600.0,10600.0,23.56,PRV-12-DIP
32,10620.0,10620.0,23.51,PRV-16-DIP
33,10640.0,10640.0,23.5,BOW-6-DIP
34,10660.0,10660.0,23.52,BOW-8-DIP
35,10680.0,10680.0,23.56,RPZ-2-CU
36,10700.0,10700.0,23.64,SSM-6-PVC
37,10720.0,10720.0,23.74,SSM-8-PVC
38,10740.0,10740.0,23.87,SSM-10-PVC
39,10760.0,10760.0,24.02,SSM-12-PVC
40,10780.0,10780.0,24.19,SSM-8-PVC-B225
41,10800.0,10800.0,24.38,SSM-8-PVC-B45
42,10820.0,10820.0,24.58,SSM-8-PVC-B90
43,10840.0,10840.0,24.79,SSM-10-PVC-B45
44,10860.0,10860.0,25.0,SSM-12-PVC-B90
45,10880.0,10880.0,25.22,SSM-8x6-PVC-RED
46,10900.0,10900.0,25.43,SSM-10x8-PVC-RED
47,10920.0,10920.0,25.63,SSC-4-PVC
48,10940.0,10940.0,25.81,SSC-6-PVC
49,10960.0,10960.0,25.99,SSL-4-PVC
50,10980.0,10980.0,26.14,SSL-6-PVC
51,11000.0,11000.0,26.26,SSMH-48-CONC
52,11020.0,11020.0,26.37,SSMH-60-CONC
53,11040.0,11040.0,26.44,SFM-4-HDPE
54,11060.0,11060.0,26.49,SFM-6-HDPE
55,11080.0,11080.0,26.5,SFM-8-HDPE
56,11100.0,11100.0,26.48,SFM-12-HDPE
57,11120.0,11120.0,26.44,SFM-6-HDPE-B225
58,11140.0,11140.0,26.36,SFM-6-HDPE-B45
59,11160.0,11160.0,26.26,SFM-6-HDPE-B90
60,11180.0,11180.0,26.13,SFM-8x6-HDPE-RED
61,11200.0,11200.0,25.98,AIR-6-HDPE
62,11220.0,11220.0,25.81,AIR-8-HDPE
63,11240.0,11240.0,25.62,STM-12-RCP
64,11260.0,11260.0,25.42,STM-15-RCP
65,11280.0,11280.0,25.21,STM-18-RCP
66,11300.0,11300.0,24.99,STM-24-RCP
