description,description,full_description
WM-4-DIP,WM-4-DIP,"Water Main, 4 inch, DIP"
WM-6-DIP,WM-6-DIP,"Water Main, 6 inch, DIP"
WM-8-PVC,WM-8-PVC,"Water Main, 8 inch, PVC"
WM-10-PVC,WM-10-PVC,"Water Main, 10 inch, PVC"
WM-12-DIP,WM-12-DIP,"Water Main, 12 inch, DIP"
WM-16-DIP,WM-16-DIP,"Water Main, 16 inch, DIP"
WM-24-DIP,WM-24-DIP,"Water Main, 24 inch, DIP"
WM-6x4-DIP-RED,WM-6x4-DIP-RED,"Water Main, Reducer 6 inch to 4 inch, DIP, RED"
WM-8x6-DIP-RED,WM-8x6-DIP-RED,"Water Main, Reducer 8 inch to 6 inch, DIP, RED"
WM-12x8-DIP-RED,WM-12x8-DIP-RED,"Water Main, Reducer 12 inch to 8 inch, DIP, RED"
WM-6-DIP-B225,WM-6-DIP-B225,"Water Main, 6 inch, DIP, Bend 225 degrees"
WM-6-DIP-B45,WM-6-DIP-B45,"Water Main, 6 inch, DIP, Bend 45 degrees"
WM-6-DIP-B90,WM-6-DIP-B90,"Water Main, 6 inch, DIP, Bend 90 degrees"
WM-8-PVC-B225,WM-8-PVC-B225,"Water Main, 8 inch, PVC, Bend 225 degrees"
WM-8-PVC-B45,WM-8-PVC-B45,"Water Main, 8 inch, PVC, Bend 45 degrees"
WM-8-PVC-B90,WM-8-PVC-B90,"Water Main, 8 inch, PVC, Bend 90 degrees"
WM-12-DIP-B225,WM-12-DIP-B225,"Water Main, 12 inch, DIP, Bend 225 degrees"
WM-12-DIP-B45,WM-12-DIP-B45,"Water Main, 12 inch, DIP, Bend 45 degrees"
WM-12-DIP-B90,WM-12-DIP-B90,"Water Main, 12 inch, DIP, Bend 90 degrees"
WVL-6-DIP,WVL-6-DIP,"Gate Valve, 6 inch, DIP"
WVL-8-DIP,WVL-8-DIP,"Gate Valve, 8 inch, DIP"
WVL-12-DIP,WVL-12-DIP,"Gate Valve, 12 inch, DIP"
WVL-16-DIP,WVL-16-DIP,"Gate Valve, 16 inch, DIP"
BFV-24-DIP,BFV-24-DIP,"Butterfly Valve, 24 inch, DIP"
BFV-30-DIP,BFV-30-DIP,"Butterfly Valve, 30 inch, DIP"
WFH-6-DIP,WFH-6-DIP,"Fire Hydrant, 6 inch, DIP"
WMT-1-CU,WMT-1-CU,"Water Meter, 1 inch, CU"
WMT-2-CU,WMT-2-CU,"Water Meter, 2 inch, CU"
ARV-12-DIP,ARV-12-DIP,"Air Release Valve, 12 inch, DIP"
ARV-16-DIP,ARV-16-DIP,"Air Release Valve, 16 inch, DIP"
PRV-12-DIP,PRV-12-DIP,"Pressure Reducing Valve, 12 inch, DIP"
PRV-16-DIP,PRV-16-DIP,"Pressure Reducing Valve, 16 inch, DIP"
BOW-6-DIP,BOW-6-DIP,"Blowoff, 6 inch, DIP"
BOW-8-DIP,BOW-8-DIP,"Blowoff, 8 inch, DIP"
RPZ-2-CU,RPZ-2-CU,"Backflow Preventer, 2 inch, CU"
SSM-6-PVC,SSM-6-PVC,"Sanitary Sewer Main, 6 inch, PVC"
SSM-8-PVC,SSM-8-PVC,"Sanitary Sewer Main, 8 inch, PVC"
SSM-10-PVC,SSM-10-PVC,"Sanitary Sewer Main, 10 inch, PVC"
SSM-12-PVC,SSM-12-PVC,"Sanitary Sewer Main, 12 inch, PVC"
SSM-8-PVC-B225,SSM-8-PVC-B225,"Sanitary Sewer Main, 8 inch, PVC, Bend 225 degrees"
SSM-8-PVC-B45,SSM-8-PVC-B45,"Sanitary Sewer Main, 8 inch, PVC, Bend 45 degrees"
SSM-8-PVC-B90,SSM-8-PVC-B90,"Sanitary Sewer Main, 8 inch, PVC, Bend 90 degrees"
SSM-10-PVC-B45,SSM-10-PVC-B45,"Sanitary Sewer Main, 10 inch, PVC, Bend 45 degrees"
SSM-12-PVC-B90,SSM-12-PVC-B90,"Sanitary Sewer Main, 12 inch, PVC, Bend 90 degrees"
SSM-8x6-PVC-RED,SSM-8x6-PVC-RED,"Sanitary Sewer Main, Reducer 8 inch to 6 inch, PVC, RED"
SSM-10x8-PVC-RED,SSM-10x8-PVC-RED,"Sanitary Sewer Main, Reducer 10 inch to 8 inch, PVC, RED"
SSC-4-PVC,SSC-4-PVC,"Sanitary Cleanout, 4 inch, PVC"
SSC-6-PVC,SSC-6-PVC,"Sanitary Cleanout, 6 inch, PVC"
SSL-4-PVC,SSL-4-PVC,"Sanitary Lateral, 4 inch, PVC"
SSL-6-PVC,SSL-6-PVC,"Sanitary Lateral, 6 inch, PVC"
SSMH-48-CONC,SSMH-48-CONC,"Sanitary Manhole, 48 inch, CONC"
SSMH-60-CONC,SSMH-60-CONC,"Sanitary Manhole, 60 inch, CONC"
SFM-4-HDPE,SFM-4-HDPE,"Force Main, 4 inch, HDPE"
SFM-6-HDPE,SFM-6-HDPE,"Force Main, 6 inch, HDPE"
SFM-8-HDPE,SFM-8-HDPE,"Force Main, 8 inch, HDPE"
SFM-12-HDPE,SFM-12-HDPE,"Force Main, 12 inch, HDPE"
SFM-6-HDPE-B225,SFM-6-HDPE-B225,"Force Main, 6 inch, HDPE, Bend 225 degrees"
SFM-6-HDPE-B45,SFM-6-HDPE-B45,"Force Main, 6 inch, HDPE, Bend 45 degrees"
SFM-6-HDPE-B90,SFM-6-HDPE-B90,"Force Main, 6 inch, HDPE, Bend 90 degrees"
SFM-8x6-HDPE-RED,SFM-8x6-HDPE-RED,"Force Main, Reducer 8 inch to 6 inch, HDPE, RED"
AIR-6-HDPE,AIR-6-HDPE,"Air Release (Force Main), 6 inch, HDPE"
AIR-8-HDPE,AIR-8-HDPE,"Air Release (Force Main), 8 inch, HDPE"
STM-12-RCP,STM-12-RCP,"Storm Pipe, 12 inch, RCP"
STM-15-RCP,STM-15-RCP,"Storm Pipe, 15 inch, RCP"
STM-18-RCP,STM-18-RCP,"Storm Pipe, 18 inch, RCP"
STM-24-RCP,STM-24-RCP,"Storm Pipe, 24 inch, RCP"
STM-30-RCP,STM-30-RCP,"Storm Pipe, 30 inch, RCP"
STM-36-RCP,STM-36-RCP,"Storm Pipe, 36 inch, RCP"
STM-18-RCP-B45,STM-18-RCP-B45,"Storm Pipe, 18 inch, RCP, Bend 45 degrees"
STM-24-RCP-B90,STM-24-RCP-B90,"Storm Pipe, 24 inch, RCP, Bend 90 degrees"
STM-30-RCP-B225,STM-30-RCP-B225,"Storm Pipe, 30 inch, RCP, Bend 225 degrees"
STM-24-HDPE,STM-24-HDPE,"Storm Pipe, 24 inch, HDPE"
STM-30-HDPE,STM-30-HDPE,"Storm Pipe, 30 inch, HDPE"
STM-36-HDPE,STM-36-HDPE,"Storm Pipe, 36 inch, HDPE"
STM-36x30-RCP-RED,STM-36x30-RCP-RED,"Storm Pipe, Reducer 36 inch to 30 inch, RCP, RED"
STM-30x24-RCP-RED,STM-30x24-RCP-RED,"Storm Pipe, Reducer 30 inch to 24 inch, RCP, RED"
CB-4-CONC,CB-4-CONC,"Catch Basin, 4 inch, CONC"
CB-5-CONC,CB-5-CONC,"Catch Basin, 5 inch, CONC"
DI-4-CONC,DI-4-CONC,"Drop Inlet, 4 inch, CONC"
DI-5-CONC,DI-5-CONC,"Drop Inlet, 5 inch, CONC"
YI-4-CONC,YI-4-CONC,"Yard Inlet, 4 inch, CONC"
SMH-48-CONC,SMH-48-CONC,"Storm Junction Box, 48 inch, CONC"
SMH-60-CONC,SMH-60-CONC,"Storm Junction Box, 60 inch, CONC"
HW-0-CONC,HW-0-CONC,"Headwall, 0 inch, CONC"
STM-18-RCP-MES,STM-18-RCP-MES,"Storm Pipe, 18 inch, RCP, Mitered End Section"
STM-24-RCP-FES,STM-24-RCP-FES,"Storm Pipe, 24 inch, RCP, Flared End Section"
STM-30-HDPE-MES,STM-30-HDPE-MES,"Storm Pipe, 30 inch, HDPE, Mitered End Section"
STM-36-RCP-FES,STM-36-RCP-FES,"Storm Pipe, 36 inch, RCP, Flared End Section"
STM-30-RCP-MES-TWL-FG,STM-30-RCP-MES-TWL-FG,"Storm Pipe, 30 inch, RCP, Mitered End Section, Tidal, Flap Gate"
STM-36-RCP-FES-TWL-FG,STM-36-RCP-FES-TWL-FG,"Storm Pipe, 36 inch, RCP, Flared End Section, Tidal, Flap Gate"
STM-24-HDPE-MES-TWL-FG,STM-24-HDPE-MES-TWL-FG,"Storm Pipe, 24 inch, HDPE, Mitered End Section, Tidal, Flap Gate"
STM-30-HDPE-FES-TWL-FG,STM-30-HDPE-FES-TWL-FG,"Storm Pipe, 30 inch, HDPE, Flared End Section, Tidal, Flap Gate"
WM-6-DIP-B225,WM-6-DIP-B225,"Water Main, 6 inch, DIP, Bend 225 degrees"
WM-6-DIP-B45,WM-6-DIP-B45,"Water Main, 6 inch, DIP, Bend 45 degrees"
WM-6-DIP-B90,WM-6-DIP-B90,"Water Main, 6 inch, DIP, Bend 90 degrees"
WM-8-PVC-B225,WM-8-PVC-B225,"Water Main, 8 inch, PVC, Bend 225 degrees"
WM-8-PVC-B45,WM-8-PVC-B45,"Water Main, 8 inch, PVC, Bend 45 degrees"
WM-8-PVC-B90,WM-8-PVC-B90,"Water Main, 8 inch, PVC, Bend 90 degrees"
WM-12-DIP-B225,WM-12-DIP-B225,"Water Main, 12 inch, DIP, Bend 225 degrees"
WM-12-DIP-B45,WM-12-DIP-B45,"Water Main, 12 inch, DIP, Bend 45 degrees"
WM-12-DIP-B90,WM-12-DIP-B90,"Water Main, 12 inch, DIP, Bend 90 degrees"
SSM-8-PVC-B225,SSM-8-PVC-B225,"Sanitary Sewer Main, 8 inch, PVC, Bend 225 degrees"
SSM-8-PVC-B45,SSM-8-PVC-B45,"Sanitary Sewer Main, 8 inch, PVC, Bend 45 degrees"
SSM-8-PVC-B90,SSM-8-PVC-B90,"Sanitary Sewer Main, 8 inch, PVC, Bend 90 degrees"
SSM-10-PVC-B45,SSM-10-PVC-B45,"Sanitary Sewer Main, 10 inch, PVC, Bend 45 degrees"
SSM-12-PVC-B90,SSM-12-PVC-B90,"Sanitary Sewer Main, 12 inch, PVC, Bend 90 degrees"
SFM-6-HDPE-B225,SFM-6-HDPE-B225,"Force Main, 6 inch, HDPE, Bend 225 degrees"
SFM-6-HDPE-B45,SFM-6-HDPE-B45,"Force Main, 6 inch, HDPE, Bend 45 degrees"
SFM-6-HDPE-B90,SFM-6-HDPE-B90,"Force Main, 6 inch, HDPE, Bend 90 degrees"
STM-18-RCP-B45,STM-18-RCP-B45,"Storm Pipe, 18 inch, RCP, Bend 45 degrees"
STM-24-RCP-B90,STM-24-RCP-B90,"Storm Pipe, 24 inch, RCP, Bend 90 degrees"
STM-30-RCP-B225,STM-30-RCP-B225,"Storm Pipe, 30 inch, RCP, Bend 225 degrees"
WM-6-DIP-B225,WM-6-DIP-B225,"Water Main, 6 inch, DIP, Bend 225 degrees"
WM-6-DIP-B45,WM-6-DIP-B45,"Water Main, 6 inch, DIP, Bend 45 degrees"
WM-6-DIP-B90,WM-6-DIP-B90,"Water Main, 6 inch, DIP, Bend 90 degrees"
WM-8-PVC-B225,WM-8-PVC-B225,"Water Main, 8 inch, PVC, Bend 225 degrees"
WM-8-PVC-B45,WM-8-PVC-B45,"Water Main, 8 inch, PVC, Bend 45 degrees"
WM-8-PVC-B90,WM-8-PVC-B90,"Water Main, 8 inch, PVC, Bend 90 degrees"
WM-12-DIP-B225,WM-12-DIP-B225,"Water Main, 12 inch, DIP, Bend 225 degrees"
WM-12-DIP-B45,WM-12-DIP-B45,"Water Main, 12 inch, DIP, Bend 45 degrees"
WM-12-DIP-B90,WM-12-DIP-B90,"Water Main, 12 inch, DIP, Bend 90 degrees"
SSM-8-PVC-B225,SSM-8-PVC-B225,"Sanitary Sewer Main, 8 inch, PVC, Bend 225 degrees"
SSM-8-PVC-B45,SSM-8-PVC-B45,"Sanitary Sewer Main, 8 inch, PVC, Bend 45 degrees"
SSM-8-PVC-B90,SSM-8-PVC-B90,"Sanitary Sewer Main, 8 inch, PVC, Bend 90 degrees"
SSM-10-PVC-B45,SSM-10-PVC-B45,"Sanitary Sewer Main, 10 inch, PVC, Bend 45 degrees"
SSM-12-PVC-B90,SSM-12-PVC-B90,"Sanitary Sewer Main, 12 inch, PVC, Bend 90 degrees"
SFM-6-HDPE-B225,SFM-6-HDPE-B225,"Force Main, 6 inch, HDPE, Bend 225 degrees"
SFM-6-HDPE-B45,SFM-6-HDPE-B45,"Force Main, 6 inch, HDPE, Bend 45 degrees"
SFM-6-HDPE-B90,SFM-6-HDPE-B90,"Force Main, 6 inch, HDPE, Bend 90 degrees"
